record_id,category,label,decision,reason,city,budget_level,strictness,amount,recommended_min,recommended_max,teacher_budget_total,target_min,target_max,request_budget_status,teacher_budget_status,candidate_high_ratio,candidate_reach_amount,food_pois
v3_request_404001,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,武汉,standard,soft,6500,6500,8400,5555,3900,6800,ok,ok,1.3877,True,28
v3_request_404002,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,武汉,limited,soft,5100,5100,6400,4506,3700,5400,ok,ok,1.4804,True,34
v3_request_404003,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,扬州,limited,soft,1500,1300,1500,1156,1100,1600,ok,ok,1.526,True,26
v3_request_404008,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,limited,soft,2200,2200,2600,1724,1600,2300,ok,ok,1.6532,True,23
v3_request_404009,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,宁波,standard,soft,1500,1500,1800,926,900,1600,ok,ok,1.4387,True,22
v3_request_404010,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,luxury,soft,18600,15500,21800,18605,14000,21900,ok,ok,1.4083,True,40
v3_request_404011,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,长沙,comfortable,soft,13100,11200,15000,9271,9200,14400,ok,ok,1.0758,True,40
v3_request_404012,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,青岛,limited,soft,2900,2300,2900,2898,2100,3000,ok,ok,1.0938,True,23
v3_request_404013,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,黄山,limited,soft,2000,1800,2100,1460,1400,2100,ok,ok,1.1055,True,29
v3_request_404020,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,广州,comfortable,soft,17800,15000,20500,12540,12500,19600,ok,ok,1.3045,True,40
v3_request_404022,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,standard,soft,14200,10900,14200,11228,8500,14900,ok,ok,1.1206,True,28
v3_request_404024,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,luxury,hard,13300,10400,13300,12475,10000,13300,ok,ok,1.1545,True,35
v3_request_404025,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,郑州,limited,soft,7400,6600,8100,7272,5300,7800,ok,ok,1.5568,True,37
v3_request_404030,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,comfortable,soft,14900,11100,14900,10453,10400,16400,ok,ok,1.2674,True,35
v3_request_404032,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,premium,soft,29500,24400,34700,29212,22100,33000,ok,ok,1.0735,True,40
v3_request_404033,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,comfortable,soft,6300,5300,7400,5352,4400,6900,ok,ok,1.2775,True,35
v3_request_404034,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,青岛,standard,soft,5500,5500,7200,4260,3300,5800,ok,ok,1.0796,True,27
v3_request_404035,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,limited,soft,8200,6400,8200,7656,5900,8600,ok,ok,1.482,True,33
v3_request_404036,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,桂林,limited,hard,5400,4700,6000,4424,3900,5400,ok,ok,1.3404,True,26
v3_request_404039,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,大连,standard,soft,8900,8900,10900,9039,5300,9300,ok,ok,1.7043,True,31
v3_request_404040,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,杭州,limited,hard,9500,7400,9500,6870,6800,9500,ok,ok,1.344,True,34
v3_request_404041,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,沈阳,standard,soft,3900,3900,5200,3684,2300,4100,ok,ok,1.4123,True,29
v3_request_404042,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,standard,soft,7500,7500,9400,5064,4500,7900,ok,ok,1.076,True,27
v3_request_404046,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,standard,soft,7900,7900,10400,7756,4700,8300,ok,ok,1.0347,True,25
v3_request_404047,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,premium,soft,8000,8000,11500,7420,6000,9000,ok,ok,1.956,True,40
v3_request_404050,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,郑州,standard,soft,9300,8300,10300,6623,5600,9800,ok,ok,1.0053,True,34
v3_request_404053,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,大理,comfortable,soft,3600,3600,4900,2586,2500,4000,ok,ok,1.1461,True,33
v3_request_404056,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,limited,hard,5500,4400,5500,4708,4000,5500,ok,ok,1.6702,True,36
v3_request_404058,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,济南,limited,soft,3600,3600,4500,3598,2600,3800,ok,ok,1.8256,True,31
v3_request_404060,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,昆明,limited,soft,3100,2800,3400,2342,2200,3300,ok,ok,1.5548,True,33
v3_request_404061,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,三亚,standard,soft,2900,2900,3500,2371,1700,3000,ok,ok,1.2007,True,23
v3_request_404063,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,长沙,comfortable,soft,4700,4200,5100,4569,3300,5200,ok,ok,1.2283,True,37
v3_request_404064,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,limited,hard,1800,1600,2000,1450,1300,1800,ok,ok,1.5356,True,23
v3_request_404068,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,comfortable,soft,7600,7600,10400,7572,5300,8400,ok,ok,1.9987,True,27
v3_request_404070,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,青岛,comfortable,soft,2600,2300,2900,2020,1800,2900,ok,ok,1.4481,True,31
v3_request_404074,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,standard,soft,3000,2700,3300,2959,1800,3200,ok,ok,1.9057,True,24
v3_request_404076,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,standard,soft,4500,3900,5100,2746,2700,4700,ok,ok,1.1231,True,25
v3_request_404077,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,泉州,comfortable,soft,2700,2100,2700,2660,1900,3000,ok,ok,1.2848,True,33
v3_request_404081,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,沈阳,standard,soft,5400,4600,6200,3259,3200,5700,ok,ok,1.2231,True,30
v3_request_404082,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,standard,soft,5600,5600,7200,5766,3400,5900,ok,ok,1.3607,True,28
v3_request_404083,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,西安,comfortable,soft,13500,11400,15600,10888,9400,14900,ok,ok,1.2276,True,39
v3_request_404084,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,西安,comfortable,soft,3900,3900,5200,3606,2700,4300,ok,ok,1.3785,True,31
v3_request_404085,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,standard,hard,2700,2300,3100,2076,1600,2700,ok,ok,1.1533,True,27
v3_request_404086,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,厦门,comfortable,soft,3200,2700,3700,2210,2200,3500,ok,ok,1.065,True,29
