scope,batch,raw_path,line_no,record_id,category,label,decision,reason,request_source,created_at_local,city,budget_level,strictness,amount,recommended_min,recommended_max,teacher_budget_total,target_min,target_max,request_budget_status,teacher_budget_status,candidate_high_ratio,candidate_reach_amount,food_pois
archive,archive/2026-05-03_batch200_paused_before_review,training/data/v3/sft/archive/2026-05-03_batch200_paused_before_review/records.jsonl,1,v3_request_000020,drop_or_full_regen,预算训练淘汰或整条重做,drop_or_regenerate,请求预算和 teacher 预算至少两侧不匹配，预算训练建议淘汰或整条重做。,controlled,2026-05-03T16:35:09+08:00,杭州,comfortable,soft,6400,8300,11100,3348,4500,7000,below,below,1.5106,True,10
archive,archive/2026-05-03_batch200_paused_before_review,training/data/v3/sft/archive/2026-05-03_batch200_paused_before_review/records.jsonl,2,v3_request_000021,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-03T16:35:12+08:00,上海,limited,soft,800,1900,2300,800,600,800,below,ok,7.07,True,10
archive,archive/2026-05-03_pre_sft_v3_final,training/data/v3/sft/archive/2026-05-03_pre_sft_v3_final/records.jsonl,1,v3_request_000000,repair_teacher_regen,需重生成 teacher,repair,请求预算符合新分档，但 teacher 预算低于目标区间，需要重生成 teacher。,controlled,2026-05-03T12:03:31+08:00,昆明,premium,soft,9000,7400,10600,2328,6800,10100,ok,below,0.476,False,10
archive,archive/2026-05-05_before_current_sft_smoke20,training/data/v3/sft/archive/2026-05-05_before_current_sft_smoke20/records.jsonl,1,v3_request_000008,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-03T17:14:25+08:00,大理,standard,soft,2100,3700,4800,1830,1300,2200,below,ok,2.2029,True,8
archive,archive/2026-05-05_before_current_sft_smoke20,training/data/v3/sft/archive/2026-05-05_before_current_sft_smoke20/records.jsonl,2,v3_request_000013,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-03T17:16:12+08:00,武汉,standard,soft,2400,5100,6800,2344,1400,2500,below,ok,2.8983,True,10
archive,archive/2026-05-05_before_current_sft_smoke20,training/data/v3/sft/archive/2026-05-05_before_current_sft_smoke20/records.jsonl,3,v3_request_000011,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-03T17:16:23+08:00,福州,standard,soft,2600,4600,5900,2592,1600,2700,below,ok,2.7546,True,9
archive,archive/2026-05-05_before_current_sft_smoke20,training/data/v3/sft/archive/2026-05-05_before_current_sft_smoke20/records.jsonl,4,v3_request_000003,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-03T17:16:25+08:00,西安,standard,soft,3300,4900,6000,2924,2000,3500,below,ok,0.9739,False,10
archive,archive/2026-05-05_before_current_sft_smoke20,training/data/v3/sft/archive/2026-05-05_before_current_sft_smoke20/records.jsonl,5,v3_request_000007,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-03T17:16:28+08:00,成都,standard,hard,2200,4000,5300,2178,1300,2200,below,ok,2.7909,True,5
archive,archive/2026-05-05_before_current_sft_smoke20,training/data/v3/sft/archive/2026-05-05_before_current_sft_smoke20/records.jsonl,6,v3_request_000002,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-03T17:16:34+08:00,杭州,limited,hard,1700,3100,3700,1647,1200,1700,below,ok,4.5194,True,6
archive,archive/2026-05-05_before_current_sft_smoke20,training/data/v3/sft/archive/2026-05-05_before_current_sft_smoke20/records.jsonl,7,v3_request_000004,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-03T17:16:46+08:00,张家界,standard,soft,5700,11500,14900,4840,3400,6000,below,ok,2.5996,True,8
