scope,batch,raw_path,line_no,record_id,category,label,decision,reason,request_source,created_at_local,city,budget_level,strictness,amount,recommended_min,recommended_max,teacher_budget_total,target_min,target_max,request_budget_status,teacher_budget_status,candidate_high_ratio,candidate_reach_amount,food_pois
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,1,v3_request_000018,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,controlled,2026-05-06T00:43:04+08:00,天津,limited,hard,3100,2700,3200,2598,2200,3100,ok,ok,1.2297,True,32
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,2,v3_request_000008,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-06T00:43:12+08:00,大理,standard,soft,2900,3700,4800,1964,1700,3000,below,ok,1.4179,True,24
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,3,v3_request_000007,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-06T00:43:36+08:00,成都,standard,hard,3100,4000,5300,2526,1900,3100,below,ok,1.3252,True,24
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,4,v3_request_000015,repair_teacher_regen,需重生成 teacher,repair,请求预算符合新分档，但 teacher 预算低于目标区间，需要重生成 teacher。,controlled,2026-05-06T00:43:42+08:00,南京,standard,soft,3600,3200,4300,2078,2200,3800,ok,below,1.3783,True,33
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,5,v3_request_000011,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-06T00:44:21+08:00,福州,standard,soft,3800,4600,5900,3558,2300,4000,below,ok,1.2679,True,23
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,6,v3_request_000014,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-06T00:44:39+08:00,成都,limited,soft,3000,3200,4100,2884,2200,3200,below,ok,2.584,True,26
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,7,v3_request_000001,drop_or_full_regen,预算训练淘汰或整条重做,drop_or_regenerate,请求预算和 teacher 预算至少两侧不匹配，预算训练建议淘汰或整条重做。,controlled,2026-05-06T00:44:50+08:00,桂林,comfortable,soft,5600,6100,8000,3606,3900,6200,below,below,0.8286,False,22
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,8,v3_request_000017,usable_budget_candidate_tight,预算可用但候选偏紧,use_with_caution,请求和 teacher 预算都合格，但候选池高配估算低于用户预算，不适合训练用满预算。,controlled,2026-05-06T00:44:52+08:00,苏州,comfortable,soft,9900,8600,11400,8002,6900,10900,ok,ok,0.9766,False,28
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,9,v3_request_000006,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,controlled,2026-05-06T00:45:07+08:00,南京,limited,soft,6700,5600,6800,5976,4800,7000,ok,ok,1.2676,True,32
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,10,v3_request_000005,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-06T00:45:09+08:00,广州,limited,soft,1900,2400,3100,1640,1400,2000,below,ok,2.4747,True,25
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,11,v3_request_000010,drop_or_full_regen,预算训练淘汰或整条重做,drop_or_regenerate,请求预算和 teacher 预算至少两侧不匹配，预算训练建议淘汰或整条重做。,controlled,2026-05-06T00:45:11+08:00,西安,standard,soft,4700,4900,6600,2670,2800,4900,below,below,0.8136,False,22
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,12,v3_request_000019,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-06T00:45:39+08:00,丽江,limited,hard,14400,10700,13300,12795,10400,14400,above,ok,1.0688,True,30
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,13,v3_request_000004,usable_budget_candidate_tight,预算可用但候选偏紧,use_with_caution,请求和 teacher 预算都合格，但候选池高配估算低于用户预算，不适合训练用满预算。,controlled,2026-05-06T00:46:34+08:00,张家界,standard,soft,12500,11500,14900,9828,7500,13100,ok,ok,0.811,False,25
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,14,v3_request_000022,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-06T00:47:13+08:00,桂林,limited,soft,4800,4900,6200,4416,3500,5000,below,ok,1.486,True,32
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,15,v3_request_000021,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,controlled,2026-05-06T00:47:38+08:00,上海,limited,soft,1500,1500,2000,1476,1100,1600,ok,ok,3.4347,True,31
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,16,v3_request_000003,usable_budget_candidate_tight,预算可用但候选偏紧,use_with_caution,请求和 teacher 预算都合格，但候选池高配估算低于用户预算，不适合训练用满预算。,controlled,2026-05-06T00:47:46+08:00,西安,standard,soft,15000,12600,15700,10363,9000,15800,ok,ok,0.7476,False,30
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,17,v3_request_000024,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-06T00:48:07+08:00,济南,limited,soft,1400,2000,2400,1472,1000,1500,below,ok,2.0793,True,26
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,18,v3_request_000020,repair_request_rebudget,需重标请求预算,repair,teacher 预算能贴合原请求目标，但请求金额不符合新版分档，需要重标请求预算/自由文本。,controlled,2026-05-06T00:48:57+08:00,杭州,comfortable,soft,6900,9200,12000,5858,4800,7600,below,ok,1.1901,True,25
active,legacy_controlled_1000_20260506,training/data/v3/sft/records.jsonl,19,v3_request_000023,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,controlled,2026-05-06T00:49:03+08:00,大理,limited,soft,4300,3500,4500,3187,3100,4500,ok,ok,1.8244,True,34
