record_id,category,label,decision,reason,city,budget_level,strictness,amount,recommended_min,recommended_max,teacher_budget_total,target_min,target_max,request_budget_status,teacher_budget_status,candidate_high_ratio,candidate_reach_amount,food_pois
v3_request_404003,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,扬州,limited,soft,1500,1300,1500,1156,1100,1600,ok,ok,1.526,True,26
v3_request_405014,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,limited,soft,1400,1400,1800,1344,1000,1500,ok,ok,2.5414,True,23
v3_request_404009,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,宁波,standard,soft,1500,1500,1800,926,900,1600,ok,ok,1.4387,True,22
v3_request_404013,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,黄山,limited,soft,2000,1800,2100,1460,1400,2100,ok,ok,1.1055,True,29
v3_request_405015,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,limited,soft,3000,3000,3700,2893,2200,3200,ok,ok,2.3233,True,23
v3_request_404008,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,limited,soft,2200,2200,2600,1724,1600,2300,ok,ok,1.6532,True,23
v3_request_404002,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,武汉,limited,soft,5100,5100,6400,4506,3700,5400,ok,ok,1.4804,True,34
v3_request_404001,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,武汉,standard,soft,6500,6500,8400,5555,3900,6800,ok,ok,1.3877,True,28
v3_request_405016,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,昆明,standard,none,3300,3300,4400,1440,0,0,ok,no_budget_policy,0.7879,False,24
v3_request_405019,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,standard,soft,8400,6500,8400,8407,5000,8800,ok,ok,1.2895,True,31
v3_request_406007,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,南京,comfortable,soft,7600,6300,8800,7664,5300,8400,ok,ok,1.9426,True,40
v3_request_405005,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,广州,standard,soft,3800,3800,5000,3713,2300,4000,ok,ok,1.7726,True,30
v3_request_406018,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,standard,soft,4600,4000,5300,4580,2800,4800,ok,ok,1.2565,True,25
v3_request_404010,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,luxury,soft,18600,15500,21800,18605,14000,21900,ok,ok,1.4083,True,40
v3_request_405000,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,limited,soft,3800,3200,3800,2742,2700,4000,ok,ok,1.1263,True,23
v3_request_406021,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,comfortable,soft,10900,10900,15000,10656,7600,12000,ok,ok,2.1928,True,29
v3_request_404023,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,福州,standard,none,6000,4700,6000,3140,0,0,ok,no_budget_policy,0.812,False,24
v3_request_405028,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,张家界,limited,soft,4800,4300,5400,4072,3500,5000,ok,ok,1.1575,True,26
v3_request_406004,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,standard,soft,9200,7100,9200,9200,5500,9700,ok,ok,1.0663,True,25
v3_request_405026,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,扬州,limited,soft,6700,6700,8600,6504,4800,7000,ok,ok,1.8922,True,31
v3_request_404024,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,luxury,hard,13300,10400,13300,12475,10000,13300,ok,ok,1.1545,True,35
v3_request_405038,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,limited,soft,4600,4600,6000,4476,3300,4800,ok,ok,3.8587,True,26
v3_request_405027,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,广州,limited,soft,9000,7100,9000,9292,6500,9400,ok,ok,1.5796,True,32
v3_request_404036,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,桂林,limited,hard,5400,4700,6000,4424,3900,5400,ok,ok,1.3404,True,26
v3_request_404012,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,青岛,limited,soft,2900,2300,2900,2898,2100,3000,ok,ok,1.0938,True,23
v3_request_404011,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,长沙,comfortable,soft,13100,11200,15000,9271,9200,14400,ok,ok,1.0758,True,40
v3_request_404032,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,premium,soft,29500,24400,34700,29212,22100,33000,ok,ok,1.0735,True,40
v3_request_404033,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,comfortable,soft,6300,5300,7400,5352,4400,6900,ok,ok,1.2775,True,35
v3_request_404031,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,大理,premium,none,16100,13500,18800,3740,0,0,ok,no_budget_policy,0.5943,False,31
v3_request_404034,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,青岛,standard,soft,5500,5500,7200,4260,3300,5800,ok,ok,1.0796,True,27
v3_request_404030,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,comfortable,soft,14900,11100,14900,10453,10400,16400,ok,ok,1.2674,True,35
v3_request_404039,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,大连,standard,soft,8900,8900,10900,9039,5300,9300,ok,ok,1.7043,True,31
v3_request_405045,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,limited,soft,1500,1400,1600,1201,1100,1600,ok,ok,2.626,True,26
v3_request_404035,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,limited,soft,8200,6400,8200,7656,5900,8600,ok,ok,1.482,True,33
v3_request_404041,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,沈阳,standard,soft,3900,3900,5200,3684,2300,4100,ok,ok,1.4123,True,29
v3_request_404042,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,standard,soft,7500,7500,9400,5064,4500,7900,ok,ok,1.076,True,27
v3_request_404025,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,郑州,limited,soft,7400,6600,8100,7272,5300,7800,ok,ok,1.5568,True,37
v3_request_405049,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,南京,comfortable,soft,3500,3500,4800,3086,2400,3900,ok,ok,2.1977,True,40
v3_request_404047,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,premium,soft,8000,8000,11500,7420,6000,9000,ok,ok,1.956,True,40
v3_request_404050,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,郑州,standard,soft,9300,8300,10300,6623,5600,9800,ok,ok,1.0053,True,34
v3_request_404056,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,limited,hard,5500,4400,5500,4708,4000,5500,ok,ok,1.6702,True,36
v3_request_404064,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,limited,hard,1800,1600,2000,1450,1300,1800,ok,ok,1.5356,True,23
v3_request_404058,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,济南,limited,soft,3600,3600,4500,3598,2600,3800,ok,ok,1.8256,True,31
v3_request_404061,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,三亚,standard,soft,2900,2900,3500,2371,1700,3000,ok,ok,1.2007,True,23
v3_request_405054,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,成都,standard,none,2500,2500,3100,1870,0,0,ok,no_budget_policy,0.8992,False,25
v3_request_405066,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,广州,standard,soft,6500,6500,8400,4620,3900,6800,ok,ok,1.2402,True,23
v3_request_404040,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,杭州,limited,hard,9500,7400,9500,6870,6800,9500,ok,ok,1.344,True,34
