batch,record_id,city,old_level,strictness,amount,teacher_budget_total,request_budget_status,suggested_action,suggested_level,amount_fit_levels,teacher_fit_levels,limited_range,standard_range,comfortable_range,premium_range
legacy_controlled_1000_20260506,v3_request_000008,大理,standard,soft,2900,1964,below,relabel_budget_level_only,limited,limited,,2700-3300,3700-4800,5100-7000,7300-10400
legacy_controlled_1000_20260506,v3_request_000007,成都,standard,hard,3100,2526,below,relabel_budget_level_only,limited,limited,,2900-3600,4000-5300,5500-7600,8000-11400
legacy_controlled_1000_20260506,v3_request_000011,福州,standard,soft,3800,3558,below,relabel_budget_level_only,limited,limited,limited,3400-4100,4600-5900,6300-8500,8900-12700
legacy_controlled_1000_20260506,v3_request_000014,成都,limited,soft,3000,2884,below,full_request_rebudget_or_regen,limited,,,3200-4100,4700-6300,6700-9500,9900-14500
legacy_controlled_1000_20260506,v3_request_000005,广州,limited,soft,1900,1640,below,full_request_rebudget_or_regen,limited,,,2400-3100,3500-4800,5000-7100,7500-10900
legacy_controlled_1000_20260506,v3_request_000019,丽江,limited,hard,14400,12795,above,relabel_level_and_amount_to_teacher_total,limited,,limited,10700-13300,14900-19600,20700-28600,29900-43000
legacy_controlled_1000_20260506,v3_request_000022,桂林,limited,soft,4800,4416,below,full_request_rebudget_or_regen,limited,,,4900-6200,6900-9200,9700-13500,14100-20400
legacy_controlled_1000_20260506,v3_request_000024,济南,limited,soft,1400,1472,below,full_request_rebudget_or_regen,limited,,,2000-2400,2600-3300,3400-4600,4800-6700
legacy_controlled_1000_20260506,v3_request_000020,杭州,comfortable,soft,6900,5858,below,relabel_level_and_amount_to_teacher_total,limited,,limited,5800-6700,7200-8900,9200-12000,12500-17100
legacy_controlled_1000_20260506,v3_request_000026,扬州,standard,soft,3000,2828,below,relabel_budget_level_only,limited,limited,limited,2500-3000,3400-4400,4600-6300,6600-9500
legacy_controlled_1000_20260506,v3_request_000032,丽江,standard,soft,8000,6443,below,relabel_level_and_amount_to_teacher_total,limited,,limited,6300-7600,8300-10600,11100-14900,15500-21800
legacy_controlled_1000_20260506,v3_request_000034,武汉,limited,soft,6500,4864,above,relabel_budget_level_only,standard,standard,limited,4300-5500,6300-8600,9100-12900,13500-19800
legacy_controlled_1000_20260506,v3_request_000048,北京,standard,soft,1900,1288,below,relabel_budget_level_only,limited,limited,,1800-2300,2500-3400,3500-4900,5200-7500
legacy_controlled_1000_20260506,v3_request_000044,西安,limited,soft,2900,2832,below,full_request_rebudget_or_regen,limited,,,3400-4300,4900-6600,6900-9700,10100-14700
legacy_controlled_1000_20260506,v3_request_000028,深圳,standard,soft,10100,8032,below,relabel_level_and_amount_to_teacher_total,limited,,limited,8000-9800,10900-14300,15000-20500,21400-30600
legacy_controlled_1000_20260506,v3_request_000051,昆明,limited,soft,5800,4700,above,relabel_level_and_amount_to_teacher_total,limited,,limited,4300-5500,6300-8600,9100-12900,13500-19800
legacy_controlled_1000_20260506,v3_request_000052,苏州,standard,soft,2800,1904,below,relabel_budget_level_only,limited,limited,,2700-3300,3600-4500,4700-6300,6600-9200
legacy_controlled_1000_20260506,v3_request_000059,宁波,comfortable,soft,2600,2170,below,relabel_budget_level_only,standard,standard,standard,1500-1900,2100-2800,2900-4100,4300-6200
legacy_controlled_1000_20260506,v3_request_000066,大理,limited,soft,2200,1978,below,full_request_rebudget_or_regen,limited,,,2700-3300,3700-4900,5100-7000,7300-10500
legacy_controlled_1000_20260506,v3_request_000065,天津,standard,soft,5100,4830,above,relabel_budget_level_only,comfortable,comfortable,standard,3000-3600,3900-4900,5100-6900,7100-10000
legacy_controlled_1000_20260506,v3_request_000061,天津,limited,soft,10300,7416,above,full_request_rebudget_or_regen,standard,,,7500-9400,10500-14000,14700-20400,21400-30900
legacy_controlled_1000_20260506,v3_request_000040,南京,comfortable,soft,8200,6926,below,relabel_budget_level_only,standard,standard,limited,6500-7400,8000-9700,10100-12900,13400-18100
legacy_controlled_1000_20260506,v3_request_000070,成都,standard,soft,4900,3352,below,relabel_budget_level_only,limited,limited,,4800-5800,6300-8000,8300-11100,11500-16100
legacy_controlled_1000_20260506,v3_request_000067,泉州,limited,soft,3200,2326,above,relabel_budget_level_only,standard,standard,limited,2300-2800,3200-4200,4400-6200,6400-9300
legacy_controlled_1000_20260506,v3_request_000078,大理,limited,soft,1400,1282,below,full_request_rebudget_or_regen,limited,,,1700-2100,2400-3100,3300-4600,4800-6900
legacy_controlled_1000_20260506,v3_request_000080,张家界,standard,soft,7600,7114,above,relabel_level_and_amount_to_teacher_total,standard,,standard,4500-5400,5900-7400,7800-10300,10800-15000
legacy_controlled_1000_20260506,v3_request_000074,桂林,limited,soft,1900,1570,below,full_request_rebudget_or_regen,limited,,,2700-3300,3700-4900,5100-7000,7300-10500
legacy_controlled_1000_20260506,v3_request_000053,青岛,comfortable,soft,6500,4720,below,relabel_budget_level_only,standard,standard,limited,4400-5200,5800-7300,7600-10100,10500-14700
legacy_controlled_1000_20260506,v3_request_000084,呼和浩特,standard,soft,7400,5040,below,full_request_rebudget_or_regen,standard,,,5700-6800,7500-9600,10000-13500,14000-19700
legacy_controlled_1000_20260506,v3_request_000088,厦门,standard,soft,3400,2274,below,relabel_budget_level_only,limited,limited,,3200-3800,4200-5300,5600-7500,7800-10900
legacy_controlled_1000_20260506,v3_request_000091,广州,standard,soft,3400,2574,below,relabel_budget_level_only,limited,limited,,2900-3600,4000-5300,5500-7600,8000-11400
legacy_controlled_1000_20260506,v3_request_000060,厦门,limited,soft,2600,2362,below,full_request_rebudget_or_regen,limited,,,3700-4600,5100-6600,6900-9400,9800-14000
legacy_controlled_1000_20260506,v3_request_000056,昆明,limited,soft,11600,8505,above,relabel_budget_level_only,standard,standard,limited,7800-9900,11200-14900,15800-22100,23100-33600
legacy_controlled_1000_20260506,v3_request_000094,重庆,limited,soft,900,789,below,full_request_rebudget_or_regen,limited,,,1400-1600,1700-2100,2200-2900,3000-4200
legacy_controlled_1000_20260506,v3_request_000095,广州,limited,soft,3700,3664,below,full_request_rebudget_or_regen,limited,,,4600-6000,6800-9300,9900-14000,14700-21600
legacy_controlled_1000_20260506,v3_request_000098,广州,standard,soft,7300,4668,below,full_request_rebudget_or_regen,limited,,,5700-7100,7900-10400,10900-15100,15800-22700
